"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"SOL (Solana)";85.54191666;96127.65;101112.97;"@ R$1,182.03 per SOL"
"GAME (GAME by Virtuals)";34685.52456137;10936.76;74281.6;"@ R$2.14 per GAME"
"ENA (Ethena)";12948.32991053;25682.64;73550.37;"@ R$5.68 per ENA"
"RAY (Raydium)";1257.006833;14389.33;38133.62;"@ R$30.34 per RAY"
"SUPER (SuperVerse)";3219.1272;29761.03;27503.75;"@ R$8.54 per SUPER"
"RSR (Reserve Rights)";283817.4875;5758.74;23599.06;"@ R$0.08 per RSR"
"CONVO (Prefrontal Cortex...)";45609.10669178;16871.92;22891.17;"@ R$0.50 per CONVO"
"SUI (Sui)";816.8823;6233.17;21015.84;"@ R$25.73 per SUI"
"WETH (WETH)";1.0127089;11670.19;21006.73;"@ R$20,743.11 per WETH"
"VIRTUAL (Virtual Protocol)";842.18331903;6934.32;20575.77;"@ R$24.43 per VIRTUAL"
"OM (MANTRA)";821.10666078;18327.42;19574.37;"@ R$23.84 per OM"
"SPECTRA (Spectra)";21415.4842273;16404.48;19092.72;"@ R$0.89 per SPECTRA"
"XAI (Xai)";12835.00401231;14933.99;18016.04;"@ R$1.40 per XAI"
"BTC (Bitcoin)";0.02705269;8115.81;15703.69;"@ R$580,485.36 per BTC"
"AERO (Aerodrome Finance)";1903.73926952;9410.86;15560.86;"@ R$8.17 per AERO"
"TROY (TROY)";406453.0;4930.7;15276.4;"@ R$0.04 per TROY"
"FXN (FXN)";30250.991522;8263.24;14853.7;"@ R$0.49 per FXN"
"AVA (AVA)";1680.51409365;5555.49;14150.0;"@ R$8.42 per AVA"
"ARC (AI Rig Complex)";5406.375072;6671.94;12900.53;"@ R$2.39 per ARC"
"ETH (Ethereum)";0.60598026;13821.8;12558.37;"@ R$20,724.06 per ETH"
"CHAMP (Super Champs)";25810.36341964;11132.78;12070.68;"@ R$0.47 per CHAMP"
"OLAS (Autonolas)";885.78333;7775.52;8451.66;"@ R$9.54 per OLAS"
"GLQ (Graphlinq Protocol)";18654.36696;7037.07;7949.01;"@ R$0.43 per GLQ"
"ELIZA (Eliza (ai16zeliza))";154891.322286;8408.85;7376.9;"@ R$0.05 per ELIZA"
"RLB (Rollbit Coin)";9456.689999;4908.3;6583.27;"@ R$0.70 per RLB"
"IDEX (IDEX)";14907.8303;5637.7;6137.0;"@ R$0.41 per IDEX"
"RARE (SuperRare)";8715.22259549;5988.79;6068.57;"@ R$0.70 per RARE"
"THETA (THETA)";429.7698;5730.73;5921.74;"@ R$13.78 per THETA"
"VIDT (V-ID)";29381.867;5069.14;5787.81;"@ R$0.20 per VIDT"
"BONK (Bonk)";29188206.77076;3240.22;5586.33;"@ R$0.00 per BONK"
"HOT (Holo)";337193.469;5928.89;4871.92;"@ R$0.01 per HOT"
"CAKE (PancakeSwap)";299.280405;5371.91;4696.23;"@ R$15.69 per CAKE"
"CELR (Celer Network)";38885.7796;5667.34;4632.22;"@ R$0.12 per CELR"
"NKN (NKN)";7752.793;4964.82;4407.49;"@ R$0.57 per NKN"
"EOS (EOS)";819.86146;4990.51;3949.74;"@ R$4.82 per EOS"
"VIC (Viction TomoChain)";1423.00714;5022.73;3520.0;"@ R$2.47 per VIC"
"PIXEL (Pixels)";3491.505;6951.69;3363.09;"@ R$0.96 per PIXEL"
"XVS (Venus)";58.19599;4073.23;3331.25;"@ R$57.24 per XVS"
"STX (Stacks)";343.5881;4989.82;3271.4;"@ R$9.52 per STX"
"GAL (Project Galaxy)";204.155824;4063.57;2423.6;"@ R$11.87 per GAL"
"AXL (Axelar)";584.2152;3879.35;2362.33;"@ R$4.04 per AXL"
"VVAIFU (Dasha)";3028.045701;1180.4;2301.59;"@ R$0.76 per VVAIFU"
"BLUR (Blur)";1500.05956;4988.23;2238.62;"@ R$1.49 per BLUR"
"LUNA (Luna by Virtuals)";2380.15094674;0.0;2224.87;"@ R$0.93 per LUNA"
"USDT (Tether)";344.30317363;1987.5;2133.22;"@ R$6.20 per USDT"
"CLV (Clover Finance)";4873.0813;1254.03;1918.86;"@ R$0.39 per CLV"
"NEAR (NEAR Protocol)";59.5139609;815.54;1820.65;"@ R$30.59 per NEAR"
"MILKTIA (MilkyWay Staked TIA)";57.150859;1731.9;1812.95;"@ R$31.72 per MILKTIA"
"WOJAK (Wojak)";323775.9;5206.46;1791.71;"@ R$0.01 per WOJAK"
"DRUGS (Big Pharmai)";6773.87257053;306.16;1482.73;"@ R$0.22 per DRUGS"
"STRK (Starknet)";490.35915;5459.67;1434.69;"@ R$2.93 per STRK"
"FAI (Freysa)";6148.0331286;1065.18;1295.08;"@ R$0.21 per FAI"
"BNB (Binance Coin)";0.20897859;492.24;918.1;"@ R$4,393.28 per BNB"
"AIYP (Agent YP by Virtuals)";6449.0;0.0;724.32;"@ R$0.11 per AIYP"
"SSOL (Solayer SOL)";0.38618493;277.09;476.37;"@ R$1,233.52 per SSOL"
"LUCE (LUCE)";1646.324216;1179.29;407.08;"@ R$0.25 per LUCE"
"FRED (First Convicted R...)";2273.013088;1187.51;396.0;"@ R$0.17 per FRED"
"BARSIK (Hasbulla's Cat)";3620.91469;2419.89;340.34;"@ R$0.09 per BARSIK"
"SHRUB (Shrub)";86421.111782;587.93;236.84;"@ R$0.00 per SHRUB"
"WBNB (Wrapped BNB)";0.05398752;38.26;236.66;"@ R$4,383.67 per WBNB"
"STAGE (STAGE)";25304.13846982;79.21;234.15;"@ R$0.01 per STAGE"
"AZERO (Aleph Zero)";98.53;530.98;215.1;"@ R$2.18 per AZERO"
"ETHFI (ether.fi)";12.73030507;0.0;171.38;"@ R$13.46 per ETHFI"
"BILLY (Billy)";1417.251059;266.64;170.66;"@ R$0.12 per BILLY"
"SENA (Ethena Staked ENA)";22.99;0.0;130.42;"@ R$5.67 per SENA"
"MAVIA (Heroes of Mavia)";19.2102;597.53;128.88;"@ R$6.71 per MAVIA"
"AI16Z (ai16z)";10.89123331;109.07;112.74;"@ R$10.35 per AI16Z"
"ARB (Arbitrum)";23.43491266;15.71;105.14;"@ R$4.49 per ARB"
"APT (Aptos)";1.69146856;67.8;91.19;"@ R$53.91 per APT"
"MONKY (Wise Monkey)";804828.0;0.0;58.34;"@ R$0.00 per MONKY"
"STAPT (Amnis Staked Apto...)";0.94731704;36.67;57.05;"@ R$60.22 per STAPT"
"VAPT (Aptos Coin)";1.0;36.38;53.91;"@ R$53.91 per VAPT"
"USDC (USD Coin)";7.59307013;44.47;47.04;"@ R$6.20 per USDC"
"OSMO (Osmosis)";11.642325;30.15;31.43;"@ R$2.70 per OSMO"
"TIA (Celestia)";1.0496552;30.16;30.32;"@ R$28.89 per TIA"
"DOODOO (Doodoo)";12.88284737;40.65;19.25;"@ R$1.49 per DOODOO"
"SKYA (Sekuya Multiverse)";171.8726;20.78;17.11;"@ R$0.10 per SKYA"
"USDC.E (USD Coin (bridged...)";1.388378;0.0;8.6;"@ R$6.20 per USDC.E"
"WBTC (Wrapped Bitcoin)";1.216e-05;3.33;7.06;"@ R$580,485.36 per WBTC"
"PENDLE (Pendle)";0.21258695;0.0;6.48;"@ R$30.46 per PENDLE"
"UPTOS (UPTOS)";33047.35947313;4.06;3.7;"@ R$0.00 per UPTOS"
"BGB (Bitget Token)";0.0540515;0.36;2.05;"@ R$38.00 per BGB"
"$CWIF (catwifhat)";768000.0;1.45;1.24;"@ R$0.00 per $CWIF"
"SOLCEX (SolCex)";11.7117;1.34;1.02;"@ R$0.09 per SOLCEX"
"KNINE (K9 Finance)";31075.0;1.09;0.94;"@ R$0.00 per KNINE"
"SHIB (SHIBA INU)";3606.77;0.6;0.48;"@ R$0.00 per SHIB"
"FTM (Fantom)";0.09960391;0.75;0.42;"@ R$4.17 per FTM"
"ALICE (MyNeighborAlice)";0.051592;0.47;0.36;"@ R$6.91 per ALICE"
"MKR (Maker)";2.482e-05;0.0;0.23;"@ R$9,260.22 per MKR"
"ANKR (Ankr Network)";0.79642112;0.19;0.17;"@ R$0.21 per ANKR"
"MATIC (Polygon)";0.04629183;0.03;0.13;"@ R$2.81 per MATIC"
"CORE (Core DAO)";0.00608;0.05;0.04;"@ R$6.57 per CORE"
"WEETH (Wrapped eETH)";9.7e-07;0.02;0.02;"@ R$21,912.05 per WEETH"
"BRZ (Brazilian Digital...)";0.01961;0.02;0.02;"@ R$0.99 per BRZ"
"MNT (Mantle)";0.00044711;0.0;0.0;"@ R$7.73 per MNT"
"G (Gravity)";0.004496;0.0;0.0;"@ R$0.19 per G"
"DEFI (DeFi)";0.00063;0.0;0.0;"@ R$0.14 per DEFI"
"$MICHI (michi (sol))";1e-06;0.0;0.0;"@ R$0.68 per $MICHI"
"WIN (WINk)";5e-07;0.0;0.0;"@ R$0.00 per WIN"
"SANIC (SANIC)";1831893.49211653;5778.27;0.0;"@ R$0.00 per SANIC"
"OPK (Obi PNut Kenobi)";429973.691754;4383.83;0.0;"@ R$0.00 per OPK"
"ANZ (Anzen Token)";180997.10289563;131.07;0.0;"@ R$0.00 per ANZ"
"DEGENAI (Degen Spartan AI)";2294.700941;1142.96;0.0;"@ R$0.00 per DEGENAI"
"UNI-V3-POS-1649470-LIQUIDITY (UNI-V3-POS-";549.65079055;6923.39;0.0;"@ R$0.00 per UNI-V3-POS-1649470-LIQUIDITY"
"UNI-V3-POS-1640758-LIQUIDITY (UNI-V3-POS-";416.54342918;8095.72;0.0;"@ R$0.00 per UNI-V3-POS-1640758-LIQUIDITY"
"UNI-V3-POS-1649845-LIQUIDITY (UNI-V3-POS-";304.91101064;9088.93;0.0;"@ R$0.00 per UNI-V3-POS-1649845-LIQUIDITY"
"USDC-APT (LiquidLP-USDC-APT-U)";13.670578;0.0;0.0;"@ R$0.00 per USDC-APT"
"UNI-V3-POS-1619323-LIQUIDITY (UNI-V3-POS-";9.95637431;258.43;0.0;"@ R$0.00 per UNI-V3-POS-1619323-LIQUIDITY"
"NEXG (NexGami)";3.8317476;0.0;0.0;"@ R$0.00 per NEXG"
"AERO-CL-POS#1161712 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1161947 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1161962 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1324843 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1325224 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1343087 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1344608 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1350555 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1500902 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1541619 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#372599 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#372823 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#384494 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#385284 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#409546 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#418590 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#429863 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#434387 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#439551 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#444979 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#453449 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#455812 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#455902 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#463102 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#463189 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#463225 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#471398 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#471422 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#471435 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#498787 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#499238 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#500188 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#538029 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#558628 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#590412 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#626462 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#626556 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#696609 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#949198 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#949338 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"CUBE#5577757 (Layer3 CUBE)";1.0;0.99;0.0;"@ R$0.00 per CUBE"
"CUBE#5578361 (Layer3 CUBE)";1.0;0.98;0.0;"@ R$0.00 per CUBE"
"DFZ#229 (Defizeros)";1.0;8586.3;0.0;"@ R$0.00 per DFZ"
"OWP (Orca Whirlpool Po...)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"OWP#3rrms... (OWP 3rrM...YKBL)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"OWP#5tvpb... (OWP 5tvp...sAzg)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"OWP#eb5tp... (OWP EB5t...i1W5)";1.0;5712.72;0.0;"@ R$0.00 per OWP"
"OWP#gvrpv... (OWP GvRp...1rg5)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"RABBYDESKTOP#36510 (Rabby Desktop";1.0;19.8;0.0;"@ R$0.00 per RABBYDESKTOP"
"RCL#cwvmv... (Raydium Concentra...)";1.0;0.0;0.0;"@ R$0.00 per RCL"
"UNI-V3-POS#1006207 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1014597 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1014608 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1018031 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1023575 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1023579 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1025711 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1028860 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1032030 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1032058 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1037305 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1047274 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057254 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057330 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057395 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057449 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057503 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057580 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057609 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058267 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058491 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058848 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058869 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1059709 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1059716 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1060101 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1060632 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1060721 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
